iter	Passed	Remaining
0	3	387
1	5	292
2	7	251
3	9	223
4	11	209
5	12	200
6	15	199
7	16	191
8	18	187
9	20	182
10	22	178
11	23	174
12	25	169
13	27	166
14	29	164
15	31	163
16	32	160
17	34	157
18	36	155
19	38	153
20	39	150
21	41	148
22	43	146
23	45	145
24	47	141
25	49	139
26	51	138
27	52	136
28	54	133
29	56	131
30	58	131
31	60	129
32	62	127
33	64	126
34	67	124
35	68	122
36	71	121
37	73	119
38	75	118
39	77	116
40	80	116
41	81	112
42	83	110
43	85	109
44	88	108
45	91	107
46	95	108
47	98	106
48	100	104
49	101	101
50	103	99
51	105	97
52	107	95
53	109	93
54	110	90
55	112	88
56	113	85
57	114	83
58	116	80
59	117	78
60	118	75
61	119	73
62	120	70
63	121	68
64	124	66
65	125	64
66	126	62
67	127	60
68	129	57
69	130	55
70	131	53
71	133	51
72	134	49
73	135	47
74	136	45
75	138	43
76	139	41
77	141	39
78	142	37
79	143	35
80	144	33
81	146	32
82	147	30
83	148	28
84	149	26
85	151	24
86	152	22
87	154	21
88	155	19
89	156	17
90	157	15
91	159	13
92	160	12
93	161	10
94	163	8
95	164	6
96	165	5
97	167	3
98	168	1
99	170	0
